symbol,bids,asks,timestamp
ETHBTC,"[['0.06213000', '57.47740000'], ['0.06212000', '19.33280000'], ['0.06211000', '62.24310000'], ['0.06210000', '24.07650000'], ['0.06209000', '50.26500000'], ['0.06204000', '14.37890000'], ['0.06113000', '2.69660000']]","[['0.06214000', '35.74000000'], ['0.06215000', '20.86450000'], ['0.06216000', '25.87770000'], ['0.06217000', '41.44930000'], ['0.06223000', '10.25820000']]",1693334745676
ETHBTC,"[['0.06213000', '57.49930000'], ['0.06212000', '19.36750000'], ['0.06113000', '2.69830000']]","[['0.06215000', '23.84180000'], ['0.06230000', '3.63370000']]",1693334746676
ETHBTC,"[['0.06213000', '56.69270000'], ['0.06210000', '33.30720000'], ['0.06209000', '55.06500000'], ['0.06157000', '19.93730000'], ['0.06113000', '2.69830000']]","[['0.06215000', '26.24180000'], ['0.06217000', '59.33380000'], ['0.06218000', '16.01890000'], ['0.06219000', '14.81800000']]",1693334747676
ETHBTC,"[['0.06213000', '57.49730000'], ['0.06210000', '32.50720000'], ['0.06209000', '55.86500000'], ['0.06113000', '2.69830000']]","[['0.06214000', '32.67140000'], ['0.06215000', '28.50350000']]",1693334748676
ETHBTC,"[['0.06213000', '57.49730000'], ['0.06210000', '32.50720000'], ['0.06209000', '55.86500000'], ['0.06202000', '19.84330000'], ['0.06113000', '2.69660000']]","[['0.06214000', '32.67140000'], ['0.06215000', '29.90350000'], ['0.06226000', '5.50510000'], ['0.06227000', '12.48990000']]",1693334749676
ETHBTC,"[['0.06213000', '59.10650000'], ['0.06113000', '2.69830000']]","[['0.06214000', '32.67140000'], ['0.06215000', '31.02990000'], ['0.06230000', '93.63370000']]",1693334750676
ETHBTC,"[['0.06213000', '57.49730000'], ['0.06113000', '2.69660000']]","[['0.06214000', '38.27140000'], ['0.06215000', '27.02990000'], ['0.06217000', '52.93380000']]",1693334751676
ETHBTC,"[['0.06213000', '59.19380000'], ['0.06212000', '19.27230000'], ['0.06211000', '55.78110000'], ['0.06188000', '198.19920000'], ['0.06113000', '2.69660000']]","[['0.06214000', '35.47140000'], ['0.06215000', '30.22990000'], ['0.06359000', '4.73590000']]",1693334752676
ETHBTC,"[['0.06213000', '59.19380000'], ['0.06113000', '2.69660000']]","[['0.06215000', '31.03450000']]",1693334753677
ETHBTC,"[['0.06213000', '66.81830000'], ['0.06212000', '18.31820000'], ['0.06211000', '56.58510000'], ['0.06210000', '32.52570000'], ['0.06209000', '53.34850000'], ['0.06207000', '26.35250000'], ['0.05591000', '1.32630000']]","[['0.06214000', '40.99770000'], ['0.06215000', '23.43790000'], ['0.06216000', '33.53060000'], ['0.06217000', '31.83060000'], ['0.06220000', '27.53940000'], ['0.06221000', '5.17030000']]",1693334754677
ETHBTC,"[['0.06213000', '64.14500000'], ['0.06212000', '18.80090000'], ['0.05928000', '1.54290000']]","[['0.06214000', '47.80590000'], ['0.06215000', '17.37730000'], ['0.06216000', '33.54940000'], ['0.06358000', '8.03120000']]",1693334755677
ETHBTC,"[['0.06213000', '64.12100000'], ['0.06212000', '12.90650000'], ['0.06211000', '22.44480000'], ['0.06206000', '27.11700000']]","[['0.06214000', '46.20590000'], ['0.06215000', '18.99800000'], ['0.06216000', '33.53060000'], ['0.06217000', '55.58750000']]",1693334756677
ETHBTC,"[['0.06213000', '60.85600000'], ['0.06212000', '17.95820000'], ['0.06211000', '21.44480000'], ['0.06210000', '33.32570000'], ['0.06209000', '52.54850000'], ['0.06157000', '19.93730000']]","[['0.06214000', '44.99470000'], ['0.06215000', '21.37730000'], ['0.06216000', '33.55210000'], ['0.06217000', '31.83060000'], ['0.06219000', '14.81800000'], ['0.06230000', '3.63370000']]",1693334757677
ETHBTC,"[['0.06213000', '64.03080000'], ['0.06212000', '13.78340000'], ['0.06211000', '17.58280000'], ['0.06210000', '33.30720000']]","[['0.06214000', '44.99470000'], ['0.06215000', '18.57730000'], ['0.06216000', '36.75210000'], ['0.06306000', '5.52350000']]",1693334758677
ETHBTC,"[['0.06213000', '66.75680000'], ['0.06212000', '8.92190000'], ['0.06211000', '18.38740000'], ['0.06113000', '2.69660000']]","[['0.06342000', '6.73780000']]",1693334759677
ETHBTC,"[['0.06213000', '66.45980000'], ['0.06212000', '14.76370000'], ['0.06211000', '46.90900000'], ['0.06210000', '33.32890000']]","[['0.06214000', '41.97560000'], ['0.06215000', '21.73290000'], ['0.06216000', '29.27140000'], ['0.06220000', '29.35900000'], ['0.06221000', '12.64500000']]",1693334760677
ETHBTC,"[['0.06213000', '66.77780000'], ['0.06211000', '54.58890000'], ['0.06207000', '64.93690000'], ['0.06206000', '19.43090000'], ['0.06205000', '66.78560000'], ['0.06204000', '23.57890000'], ['0.06203000', '7.04570000'], ['0.06202000', '111.04690000'], ['0.06201000', '7.82900000'], ['0.06199000', '99.49610000'], ['0.06194000', '3.93610000'], ['0.06188000', '140.46660000'], ['0.06175000', '43.30630000'], ['0.06163000', '2.14500000']]","[['0.06214000', '45.13120000'], ['0.06215000', '19.87730000'], ['0.06216000', '30.27140000'], ['0.06218000', '20.61890000'], ['0.06220000', '33.95900000'], ['0.06221000', '51.22940000'], ['0.06222000', '42.48820000'], ['0.06223000', '67.99080000'], ['0.06224000', '8.40950000'], ['0.06225000', '99.24220000'], ['0.06226000', '1.74940000'], ['0.06227000', '10.34160000'], ['0.06228000', '96.60600000'], ['0.06239000', '0.82180000'], ['0.06245000', '79.06320000'], ['0.06257000', '8.28240000'], ['0.06270000', '17.60000000'], ['0.06306000', '6.01610000']]",1693334761677
ETHBTC,[],"[['0.06215000', '20.87730000'], ['0.06216000', '29.27140000'], ['0.06225000', '98.00270000'], ['0.06230000', '93.63370000']]",1693334762677
ETHBTC,"[['0.06113000', '2.69830000']]","[['0.06217000', '56.17050000']]",1693334763677
ETHBTC,"[['0.06213000', '68.37700000'], ['0.06211000', '54.60700000'], ['0.06210000', '33.30720000'], ['0.06204000', '23.39820000'], ['0.06113000', '2.69660000']]","[['0.06214000', '41.97560000'], ['0.06215000', '22.03740000'], ['0.06216000', '31.64990000'], ['0.06217000', '54.53200000'], ['0.06223000', '67.80890000']]",1693334764677
ETHBTC,"[['0.06213000', '66.98820000'], ['0.06212000', '21.96680000'], ['0.06211000', '25.04860000'], ['0.06210000', '33.32520000'], ['0.06205000', '66.96890000']]","[['0.06214000', '38.99110000'], ['0.06215000', '21.23740000'], ['0.06216000', '32.47090000'], ['0.06217000', '30.17220000'], ['0.06221000', '43.75470000'], ['0.06224000', '8.59120000'], ['0.06306000', '6.50870000']]",1693334765677
ETHBTC,"[['0.06212000', '21.96680000'], ['0.06211000', '25.04860000'], ['0.06210000', '64.31000000'], ['0.06209000', '50.94850000']]","[['0.06214000', '42.13920000'], ['0.06216000', '39.15160000']]",1693334766677
ETHBTC,"[['0.06213000', '68.59740000'], ['0.06157000', '19.93730000'], ['0.05928000', '1.34050000']]","[['0.06214000', '42.00090000'], ['0.06218000', '22.27730000'], ['0.06219000', '14.81800000'], ['0.06366000', '30.74660000']]",1693334767677
ETHBTC,"[['0.06213000', '68.67800000'], ['0.06212000', '21.88630000'], ['0.06210000', '67.51000000'], ['0.06209000', '47.74850000'], ['0.06195000', '19.57330000']]","[['0.06214000', '45.25500000'], ['0.06215000', '15.14630000'], ['0.06216000', '40.15160000'], ['0.06217000', '30.17220000'], ['0.06218000', '21.42960000'], ['0.06245000', '77.56320000'], ['0.06400000', '247.71720000']]",1693334768677
ETHBTC,"[['0.06213000', '69.59740000'], ['0.06212000', '20.96690000'], ['0.06194000', '6.43610000'], ['0.05591000', '1.32630000']]","[['0.06215000', '18.93680000'], ['0.06216000', '60.15910000'], ['0.06230000', '3.63370000'], ['0.06244000', '7.08140000']]",1693334769677
ETHBTC,"[['0.06213000', '67.98820000']]","[['0.06218000', '22.27730000'], ['0.06306000', '7.00130000']]",1693334770677
ETHBTC,"[['0.06211000', '57.57860000'], ['0.06210000', '37.32520000']]",[],1693334771677
ETHBTC,"[['0.06213000', '66.98820000'], ['0.06212000', '21.96690000'], ['0.06117000', '52.05020000'], ['0.06111000', '1.38230000'], ['0.06071000', '2.79840000'], ['0.06067000', '4.65870000']]",[],1693334772677
ETHBTC,"[['0.06213000', '67.98820000'], ['0.06212000', '20.96690000']]","[['0.06230000', '93.63370000'], ['0.06306000', '7.34610000']]",1693334773677
ETHBTC,"[['0.06213000', '69.59740000'], ['0.06004000', '0.67770000']]","[['0.06215000', '15.14630000'], ['0.06216000', '40.15160000'], ['0.06217000', '53.89620000'], ['0.06303000', '5.51070000'], ['0.06308000', '31.20120000'], ['0.06324000', '9.82050000'], ['0.06329000', '2.34770000'], ['0.06405000', '80.56140000'], ['0.06410000', '68.91760000']]",1693334774677
ETHBTC,"[['0.06213000', '67.98820000'], ['0.06208000', '29.10360000'], ['0.06207000', '62.42030000'], ['0.06194000', '3.93610000'], ['0.06113000', '2.69830000'], ['0.06004000', '0.69130000']]",[],1693334775678
ETHBTC,"[['0.06213000', '69.59740000'], ['0.06194000', '6.43610000'], ['0.06113000', '2.69830000'], ['0.06112000', '2.57540000']]","[['0.06216000', '63.74400000'], ['0.06217000', '30.17220000'], ['0.06244000', '7.08140000'], ['0.06313000', '6.45540000']]",1693334776678
ETHBTC,"[['0.06213000', '68.37700000'], ['0.06212000', '21.96690000'], ['0.06211000', '49.91750000'], ['0.06210000', '34.90720000'], ['0.06209000', '50.26500000'], ['0.06207000', '59.90380000'], ['0.06206000', '27.11700000'], ['0.06157000', '19.93730000'], ['0.06113000', '2.69660000']]","[['0.06214000', '42.97050000'], ['0.06215000', '19.35790000'], ['0.06216000', '31.67090000'], ['0.06219000', '14.81800000'], ['0.06221000', '51.22940000']]",1693334777678
ETHBTC,"[['0.06213000', '66.39260000'], ['0.06212000', '15.89020000'], ['0.06211000', '17.36870000'], ['0.06210000', '34.92720000'], ['0.06209000', '47.74850000'], ['0.06208000', '26.58700000']]","[['0.06214000', '46.19080000'], ['0.06215000', '16.15800000']]",1693334778678
ETHBTC,"[['0.06213000', '66.71060000'], ['0.06212000', '15.96770000'], ['0.06211000', '27.72340000'], ['0.06210000', '68.36130000'], ['0.06209000', '35.38480000'], ['0.06207000', '64.93690000'], ['0.06194000', '3.93610000'], ['0.05928000', '1.54290000']]","[['0.06214000', '46.18850000'], ['0.06217000', '30.78020000'], ['0.06244000', '5.58140000'], ['0.06353000', '2.46630000']]",1693334779678
ETHBTC,"[['0.06212000', '16.42280000'], ['0.06193000', '7.26280000']]","[['0.06214000', '46.99310000'], ['0.06243000', '4.42360000'], ['0.06365000', '3.95940000']]",1693334780678
ETHBTC,"[['0.06213000', '66.39260000']]","[['0.06214000', '46.15140000'], ['0.06215000', '17.28440000'], ['0.06217000', '54.21380000'], ['0.06230000', '3.63370000']]",1693334781678
ETHBTC,"[['0.06213000', '66.71060000'], ['0.06112000', '2.61470000']]","[['0.06214000', '46.15140000'], ['0.06216000', '39.15160000'], ['0.06221000', '43.75470000']]",1693334782678
ETHBTC,"[['0.06213000', '66.14500000'], ['0.06212000', '19.17600000'], ['0.06211000', '35.42270000'], ['0.06210000', '67.49890000'], ['0.06209000', '36.21480000'], ['0.06207000', '65.01750000'], ['0.06206000', '19.43090000']]","[['0.06214000', '46.12500000'], ['0.06215000', '15.15800000'], ['0.06216000', '54.98440000'], ['0.06217000', '40.65240000'], ['0.06218000', '21.42960000'], ['0.06220000', '24.49790000'], ['0.06221000', '51.22940000']]",1693334783678
ETHBTC,"[['0.06213000', '66.14500000'], ['0.06211000', '27.36800000'], ['0.06210000', '34.79930000'], ['0.06209000', '39.41480000'], ['0.06208000', '31.18700000'], ['0.06206000', '47.23320000'], ['0.06204000', '11.89820000'], ['0.06193000', '7.26280000'], ['0.05591000', '1.32630000']]","[['0.06215000', '12.85800000'], ['0.06216000', '55.00380000'], ['0.06217000', '40.63330000'], ['0.06218000', '16.82960000'], ['0.06220000', '19.89790000'], ['0.06222000', '37.88820000'], ['0.06224000', '24.69120000'], ['0.06243000', '4.42360000']]",1693334784678
ETHBTC,"[['0.06213000', '70.18600000'], ['0.06212000', '15.90550000'], ['0.06211000', '37.49930000'], ['0.06210000', '64.53760000'], ['0.06209000', '45.21790000'], ['0.06207000', '59.98440000'], ['0.06204000', '8.14200000']]","[['0.06215000', '18.45800000'], ['0.06216000', '27.86060000'], ['0.06217000', '40.50210000'], ['0.06218000', '16.01890000'], ['0.06230000', '93.63370000']]",1693334785678
ETHBTC,"[['0.06213000', '70.18600000'], ['0.06210000', '64.33760000'], ['0.06209000', '46.01790000'], ['0.06205000', '68.76610000'], ['0.06204000', '6.79420000']]","[['0.06216000', '27.04990000'], ['0.06217000', '41.31280000'], ['0.06220000', '42.31540000'], ['0.06222000', '19.55140000'], ['0.06224000', '24.68720000']]",1693334786678
ETHBTC,"[['0.06213000', '64.98600000'], ['0.06212000', '16.90550000']]","[['0.06216000', '30.24990000'], ['0.06217000', '28.51280000'], ['0.06224000', '24.69120000']]",1693334787678
ETHBTC,"[['0.06213000', '65.98600000'], ['0.06212000', '15.90550000'], ['0.06157000', '19.93730000'], ['0.06113000', '2.69660000']]","[['0.06216000', '53.66170000'], ['0.06219000', '14.81800000']]",1693334788678
ETHBTC,"[['0.06213000', '61.54410000'], ['0.06212000', '15.74740000'], ['0.06209000', '42.81790000']]","[['0.06215000', '27.73480000'], ['0.06217000', '26.85440000'], ['0.06223000', '65.04520000'], ['0.06225000', '96.66680000'], ['0.06303000', '32.78260000'], ['0.06308000', '3.92930000'], ['0.06324000', '37.09240000'], ['0.06330000', '205.61220000'], ['0.06343000', '2.60710000'], ['0.06410000', '96.19130000'], ['0.06412000', '24.84750000']]",1693334789678
ETHBTC,"[['0.06213000', '57.34410000'], ['0.06212000', '16.74740000'], ['0.06208000', '29.17320000']]","[['0.06215000', '24.93480000'], ['0.06216000', '33.44990000'], ['0.06218000', '16.86660000'], ['0.06270000', '16.64480000']]",1693334790678
ETHBTC,"[['0.06213000', '57.34410000'], ['0.06210000', '65.13760000'], ['0.06209000', '42.01790000'], ['0.06208000', '31.18700000']]","[['0.06215000', '25.07840000'], ['0.06216000', '56.54920000'], ['0.06217000', '27.64400000'], ['0.06219000', '12.80420000'], ['0.06220000', '44.32920000']]",1693334791678
ETHBTC,"[['0.06213000', '54.77220000'], ['0.06211000', '35.19930000'], ['0.06210000', '53.50690000'], ['0.06209000', '42.81790000'], ['0.06208000', '26.58700000'], ['0.06206000', '42.63320000'], ['0.06204000', '18.29420000']]","[['0.06214000', '46.12500000'], ['0.06215000', '16.65800000'], ['0.06216000', '32.47110000'], ['0.06221000', '51.22940000'], ['0.06270000', '17.60000000'], ['0.06358000', '7.53470000']]",1693334792678
ETHBTC,"[['0.06213000', '51.67220000'], ['0.06212000', '16.90550000'], ['0.06211000', '35.19930000'], ['0.06210000', '51.20690000'], ['0.06209000', '41.91790000'], ['0.06113000', '2.69660000']]","[['0.06214000', '51.72500000'], ['0.06215000', '19.35800000'], ['0.06216000', '26.07110000'], ['0.06217000', '52.24010000'], ['0.06218000', '21.46660000'], ['0.06220000', '48.92920000'], ['0.06222000', '24.15140000'], ['0.06224000', '8.59120000'], ['0.06230000', '3.63370000']]",1693334793678
ETHBTC,"[['0.06213000', '51.35420000'], ['0.06211000', '64.52300000'], ['0.06210000', '19.26860000']]","[['0.06218000', '22.07460000']]",1693334794678
ETHBTC,"[['0.06213000', '51.67220000'], ['0.06212000', '15.32400000'], ['0.06211000', '54.39280000'], ['0.06210000', '31.71340000'], ['0.06209000', '39.61790000']]","[['0.06214000', '53.48880000'], ['0.06215000', '17.05800000'], ['0.06216000', '29.27110000'], ['0.06217000', '27.64400000'], ['0.06218000', '17.47460000'], ['0.06220000', '44.32920000'], ['0.06222000', '19.55140000'], ['0.06224000', '24.69120000'], ['0.06306000', '7.83870000']]",1693334795678
ETHBTC,"[['0.06213000', '51.66220000'], ['0.06212000', '15.16590000'], ['0.06211000', '54.39320000'], ['0.06210000', '29.41340000'], ['0.06209000', '41.91790000']]","[['0.06214000', '52.48880000'], ['0.06215000', '16.25800000'], ['0.06216000', '27.67110000'], ['0.06217000', '30.03330000'], ['0.06324000', '36.59580000']]",1693334796679
ETHBTC,"[['0.06213000', '54.07600000'], ['0.06212000', '15.32410000']]","[['0.06214000', '49.47900000'], ['0.06215000', '16.24630000'], ['0.06217000', '55.85960000'], ['0.06230000', '93.63370000']]",1693334797679
ETHBTC,"[['0.06213000', '49.87600000'], ['0.06212000', '33.50540000'], ['0.06210000', '21.56860000'], ['0.06209000', '46.01790000'], ['0.06208000', '45.64590000'], ['0.06157000', '19.93730000']]","[['0.06214000', '39.95840000'], ['0.06215000', '19.83860000'], ['0.06216000', '31.04990000'], ['0.06217000', '30.03330000'], ['0.06219000', '12.80420000'], ['0.06306000', '8.33130000']]",1693334798679
ETHBTC,"[['0.06213000', '65.88190000'], ['0.06212000', '33.32120000'], ['0.06211000', '46.25690000'], ['0.06210000', '33.66410000'], ['0.06209000', '33.91910000'], ['0.06207000', '52.33170000'], ['0.06205000', '65.01030000'], ['0.06136000', '9.13840000'], ['0.05591000', '1.32630000']]","[['0.06214000', '15.45710000'], ['0.06215000', '10.67020000'], ['0.06216000', '32.51630000'], ['0.06217000', '30.70110000'], ['0.06218000', '16.01890000'], ['0.06220000', '44.32920000']]",1693334799679
ETHBTC,"[['0.06213000', '69.76420000'], ['0.06212000', '33.16300000'], ['0.06211000', '45.82130000'], ['0.06210000', '33.66410000'], ['0.06209000', '33.91910000'], ['0.06208000', '50.24590000'], ['0.06206000', '47.23320000'], ['0.06204000', '6.79420000']]","[['0.06215000', '19.29150000'], ['0.06216000', '7.90780000'], ['0.06217000', '24.38040000'], ['0.06218000', '38.31200000'], ['0.06219000', '18.54980000'], ['0.06222000', '27.18560000'], ['0.06223000', '58.77070000'], ['0.06225000', '98.85350000'], ['0.06226000', '7.94200000']]",1693334800679
ETHBTC,"[['0.06213000', '55.76540000'], ['0.06210000', '21.66410000'], ['0.06209000', '45.91910000'], ['0.06113000', '2.69660000']]","[['0.06215000', '30.68660000'], ['0.06216000', '10.92010000'], ['0.06217000', '25.50670000'], ['0.06366000', '30.25060000']]",1693334801679
ETHBTC,"[['0.06213000', '68.87690000'], ['0.06211000', '46.62130000'], ['0.06210000', '32.86410000'], ['0.06209000', '33.91910000']]","[['0.06214000', '10.43480000'], ['0.06218000', '35.11200000'], ['0.06306000', '8.82390000']]",1693334802679
ETHBTC,"[['0.06211000', '48.22130000'], ['0.06210000', '28.06410000'], ['0.06209000', '33.91910000']]","[['0.06216000', '9.42460000'], ['0.06217000', '27.80670000']]",1693334803679
ETHBTC,"[['0.06212000', '59.27640000'], ['0.06211000', '18.89760000']]","[['0.06214000', '10.31970000'], ['0.06216000', '8.62010000'], ['0.06217000', '40.27780000'], ['0.06218000', '56.01070000'], ['0.06358000', '7.18720000']]",1693334804679
ETHBTC,"[['0.06211000', '19.07220000']]","[['0.06216000', '14.36830000'], ['0.06217000', '53.19570000'], ['0.06218000', '40.85830000'], ['0.06219000', '12.80420000']]",1693334805679
ETHBTC,"[['0.06113000', '2.69830000']]","[['0.06217000', '52.11120000'], ['0.06218000', '40.85830000'], ['0.06230000', '3.63370000']]",1693334806679
ETHBTC,"[['0.06211000', '16.67220000'], ['0.06210000', '33.66410000'], ['0.06113000', '2.69660000']]","[['0.06216000', '15.36830000'], ['0.06217000', '33.55080000'], ['0.06218000', '58.41880000'], ['0.06306000', '9.31650000']]",1693334807679
ETHBTC,"[['0.06212000', '69.21960000'], ['0.06157000', '19.93730000'], ['0.06113000', '2.69830000']]","[['0.06214000', '10.31650000'], ['0.06215000', '33.70800000'], ['0.06216000', '12.35600000'], ['0.06219000', '12.80420000']]",1693334808679
ETHBTC,"[['0.06213000', '67.75050000'], ['0.06212000', '71.59940000'], ['0.06113000', '2.70170000']]","[['0.06214000', '14.74000000']]",1693334809679
ETHBTC,"[['0.06213000', '67.71590000'], ['0.06113000', '2.69830000']]","[['0.06217000', '56.34940000'], ['0.06218000', '40.83800000'], ['0.06222000', '19.55140000'], ['0.06230000', '93.63370000'], ['0.06306000', '9.66130000']]",1693334810679
ETHBTC,"[['0.06210000', '32.83410000'], ['0.06113000', '2.69830000']]",[],1693334811679
ETHBTC,"[['0.06213000', '65.10690000'], ['0.06212000', '16.54570000'], ['0.06211000', '62.31530000'], ['0.06208000', '45.64590000'], ['0.06206000', '42.63320000'], ['0.06204000', '18.29420000'], ['0.06113000', '2.69660000']]","[['0.06214000', '37.38310000'], ['0.06215000', '10.66840000'], ['0.06216000', '8.90780000'], ['0.06217000', '54.04940000'], ['0.06218000', '35.09170000']]",1693334812679
ETHBTC,"[['0.06213000', '56.68010000'], ['0.06212000', '15.55580000'], ['0.06211000', '68.04890000'], ['0.06210000', '25.53120000'], ['0.06209000', '30.31910000'], ['0.06207000', '62.50090000'], ['0.06113000', '2.69830000']]","[['0.06214000', '43.54480000'], ['0.06215000', '14.81830000'], ['0.06216000', '18.79890000'], ['0.06217000', '60.85360000'], ['0.06218000', '39.69170000'], ['0.06220000', '48.92920000'], ['0.06221000', '51.22940000'], ['0.06222000', '20.39560000'], ['0.06223000', '57.86090000'], ['0.06224000', '6.88650000'], ['0.06225000', '96.66680000']]",1693334813679
ETHBTC,"[['0.06213000', '57.14000000'], ['0.06212000', '15.07310000'], ['0.06211000', '68.97400000'], ['0.06210000', '26.26570000'], ['0.06207000', '65.01750000'], ['0.06142000', '5.34890000'], ['0.06113000', '2.69660000'], ['0.05591000', '1.32630000'], ['0.05387000', '0.93000000'], ['0.05386000', '0.18760000']]","[['0.06214000', '43.61260000'], ['0.06215000', '15.94460000'], ['0.06231000', '17.97120000']]",1693334814679
ETHBTC,"[['0.06213000', '55.64900000'], ['0.06212000', '18.04640000'], ['0.06205000', '64.82700000'], ['0.06113000', '2.69830000']]","[['0.06214000', '44.41710000'], ['0.06217000', '62.33250000'], ['0.06218000', '39.69170000'], ['0.06224000', '12.81710000'], ['0.06226000', '1.74940000'], ['0.06230000', '94.07080000']]",1693334815679
ETHBTC,"[['0.06213000', '49.42120000'], ['0.06212000', '18.04640000'], ['0.06204000', '18.47440000'], ['0.06143000', '9.06660000'], ['0.06113000', '2.69660000']]","[['0.06214000', '50.16510000'], ['0.06215000', '10.19620000'], ['0.06216000', '19.37580000'], ['0.06217000', '60.67410000'], ['0.06218000', '39.72280000'], ['0.06223000', '58.04200000']]",1693334816679
ETHBTC,"[['0.06213000', '42.69230000'], ['0.06212000', '24.92270000'], ['0.06211000', '66.60890000'], ['0.06210000', '32.01720000']]","[['0.06214000', '50.09730000'], ['0.06216000', '38.91620000'], ['0.06217000', '31.50110000'], ['0.06218000', '41.38120000']]",1693334817679
ETHBTC,"[['0.06213000', '40.83450000'], ['0.06212000', '23.92270000'], ['0.06211000', '67.64360000'], ['0.06157000', '19.93730000']]","[['0.06215000', '17.91720000'], ['0.06216000', '46.39690000'], ['0.06217000', '30.37480000'], ['0.06219000', '12.80420000'], ['0.06221000', '43.75470000'], ['0.06230000', '4.07080000']]",1693334818679
ETHBTC,"[['0.06213000', '46.03180000'], ['0.06212000', '20.81300000'], ['0.06211000', '19.41170000'], ['0.06210000', '32.01710000'], ['0.06209000', '30.31910000'], ['0.06206000', '50.31930000']]","[['0.06214000', '49.29280000'], ['0.06215000', '9.19620000'], ['0.06216000', '23.72970000'], ['0.06217000', '34.37480000'], ['0.06219000', '15.32070000'], ['0.06220000', '46.41270000']]",1693334819679
ETHBTC,"[['0.06213000', '39.88490000'], ['0.06212000', '21.68630000'], ['0.06211000', '15.68360000'], ['0.06210000', '63.48700000'], ['0.06209000', '30.34090000']]","[['0.06214000', '50.15990000'], ['0.06215000', '10.70310000'], ['0.06216000', '22.88410000'], ['0.06217000', '56.18370000']]",1693334820679
ETHBTC,"[['0.06213000', '45.63300000'], ['0.06212000', '15.02160000'], ['0.06211000', '27.64400000'], ['0.06210000', '57.02220000'], ['0.06209000', '30.31910000']]","[['0.06214000', '44.50080000'], ['0.06215000', '16.43080000'], ['0.06216000', '55.17970000'], ['0.06217000', '40.11980000'], ['0.06219000', '15.28860000'], ['0.06221000', '41.60270000'], ['0.06230000', '94.07080000']]",1693334821679
